ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
19925,Omar Abdillahi Charmarke Cochine,M,24.0,178.0,60.0,Djibouti,DJI,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Mens Marathon,NoMedal
14762,Hubert Braun,M,24.0,186.0,92.0,Germany-2,GER,1964 Winter,1964,Winter,Innsbruck,Bobsleigh,Bobsleigh Mens Four,NoMedal
48023,Ihosvany Hernndez Riera,M,23.0,206.0,90.0,Cuba,CUB,1996 Summer,1996,Summer,Atlanta,Volleyball,Volleyball Mens Volleyball,NoMedal
101293,Hilda Roberts,F,24.0,175.0,70.0,Ireland,IRL,1932 Summer,1932,Summer,Los Angeles,Art Competitions,Art Competitions Mixed Painting Unknown Event,NoMedal
61703,Jan Kobin,M,35.0,186.0,102.0,Czech Republic,CZE,2006 Winter,2006,Winter,Torino,Bobsleigh,Bobsleigh Mens Four,NoMedal
120079,Joseph Eric Joe Thornton,M,26.0,193.0,102.0,Canada,CAN,2006 Winter,2006,Winter,Torino,Ice Hockey,Ice Hockey Mens Ice Hockey,NoMedal
68496,Erkki Olavi Leimuvirta,M,24.0,178.0,67.5,Finland,FIN,1960 Summer,1960,Summer,Roma,Gymnastics,Gymnastics Mens Team AllAround,NoMedal
117912,Daito Takahashi,M,21.0,169.0,65.0,Japan,JPN,2002 Winter,2002,Winter,Salt Lake City,Nordic Combined,Nordic Combined Mens Team,NoMedal
107906,Diego Schweizer Berg,M,21.0,175.0,70.0,Argentina,ARG,1960 Winter,1960,Winter,Squaw Valley,Alpine Skiing,Alpine Skiing Mens Giant Slalom,NoMedal
110793,Anna Barbara Nanny Simon,F,21.0,175.0,70.0,Netherlands,NED,1952 Summer,1952,Summer,Helsinki,Gymnastics,Gymnastics Womens Team Portable Apparatus,NoMedal
57131,Jen Kamuti,M,31.0,172.0,68.0,Hungary,HUN,1968 Summer,1968,Summer,Mexico City,Fencing,Fencing Mens Foil Team,NoMedal
19391,Jiina ermkov Hrabtov,F,35.0,168.0,59.0,Czechoslovakia,TCH,1980 Summer,1980,Summer,Moskva,Hockey,Hockey Womens Hockey,Silver
133021,Vilho Ilmari Ylnen,M,38.0,169.0,67.0,Finland,FIN,1956 Summer,1956,Summer,Melbourne,Shooting,Shooting Mens SmallBore Rifle Prone 50 metres,NoMedal
1113,Victor Okechukwu Agali,M,21.0,193.0,82.0,Nigeria,NGR,2000 Summer,2000,Summer,Sydney,Football,Football Mens Football,NoMedal
7082,Wolter Bakker,M,47.0,175.0,70.0,Netherlands,NED,1936 Summer,1936,Summer,Berlin,Art Competitions,Art Competitions Mixed Architecture Architectural Designs,NoMedal
10107,Emilio Benini,M,28.0,175.0,70.0,Italy,ITA,1920 Summer,1920,Summer,Antwerpen,Equestrianism,Equestrianism Mens Jumping Individual,NoMedal
21132,Bei Fen Jovina Choo,F,26.0,164.0,57.0,Singapore,SGP,2016 Summer,2016,Summer,Rio de Janeiro,Sailing,Sailing Womens Two Person Dinghy,NoMedal
38389,Beat Ganz,M,26.0,179.0,74.0,Switzerland,SUI,1972 Summer,1972,Summer,Munich,Modern Pentathlon,Modern Pentathlon Mens Individual,NoMedal
103174,Ivan Moritz Ruben,M,30.0,175.0,70.0,Denmark,DEN,1948 Summer,1948,Summer,London,Fencing,Fencing Mens Foil Individual,NoMedal
40297,Jacek Gilewski,M,23.0,175.0,70.0,Poland,POL,1992 Summer,1992,Summer,Barcelona,Archery,Archery Mens Individual,NoMedal
5410,Ardo Arusaar,M,24.0,181.0,102.0,Estonia,EST,2012 Summer,2012,Summer,London,Wrestling,Wrestling Mens Heavyweight GrecoRoman,NoMedal
97835,William A Quaye,M,27.0,175.0,68.0,Ghana,GHA,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Mens 400 metres Hurdles,NoMedal
116217,Kenyu Sugimoto,M,19.0,187.0,79.0,Japan,JPN,2012 Summer,2012,Summer,London,Football,Football Mens Football,NoMedal
75104,Galina Marinova,F,15.0,155.0,38.0,Bulgaria,BUL,1980 Summer,1980,Summer,Moskva,Gymnastics,Gymnastics Womens Balance Beam,NoMedal
92083,David Patros,M,23.0,180.0,71.0,France,FRA,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Mens 100 metres,NoMedal
20083,Abraham Chebii Koskei,M,24.0,172.0,63.0,Kenya,KEN,2004 Summer,2004,Summer,Athina,Athletics,Athletics Mens 5000 metres,NoMedal
